,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Battery Backup,Power Supply,MS Office Provided,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Expandable Memory,Cache,Graphic Processor,Number of Cores,OS Architecture,Operating System,Supported Operating System,Mic In,USB Port,HDMI Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Backlit Keyboard,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,price,Battery Cell,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,HDD Capacity,System Architecture,RJ45,Hardware Interface,Sound Chip,Refresh Rate,Ethernet,Pointer Device,EMMC Storage Capacity,Multi Card Slot,Security Chip,Chipset,Memory Slots,RPM,RAM Frequency,Lock Port,TGP,S-video,RJ11,VGA Port,NFC Support,Face Recognition,Laptop Bag,Other Accessories,Dock Port,Firewire Port,Read/Write Speed,Antivirus,International Warranty,Wireless WAN,Recovery Options,Brightness,Stylus Included,Inbuilt 4G LTE
611,"Laptop, Power Adaptor, User Guide, Warranty Documents",15IRH8,82XV00BRIN,15IRH8,LOQ,Storm Grey,Gaming Laptop,"Everyday Use, Gaming, Processing & Multitasking",Upto 5.32 Hours,170W Slim Tip Adapter (3 Pin),Yes,Intel,Core i7,13th Gen,Yes,512 GB,16 GB,DDR5,13620H,"Base Frequency 2.4 GHz, Max Turbo Boost at 4.9 GHz",16 GB,24 MB,NVIDIA GeForce RTX 4060,10,,Windows 11 Home,Windows 11,Yes,"1 x USB 3.2 Gen 1, 2 x USB 3.2 Gen 2, 1 x USB-C 3.2 Gen 2 (Support Data Transfer, Power Delivery 140W and DisplayPort 1.4)","1 x HDMI 2.1, Upto 8K/60Hz",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, IPS, 350nits Anti-glare, 45% NTSC, Refresh Rate: 144Hz, G-SYNC",2W Dual Stereo Speakers,Dual Array Microphone,Nahimic Gaming Audio,"Wi-Fi 6, 11ax 2x2",v5.1,359.6 x 264.8 x 22.1 mm,2.4 kg,Not Available,Full HD 1080p with E Shutter,,"White Backlit, English",Yes,Microsoft Office Home & Student 2021,"Integrated 60Wh Battery, AI Chip: LA1",1 Year Carry-in Warranty,Carry-In,Manufacturing Damage,Physical Damage,1 Year,114990,,GDDR6,8 GB,,,Yes,PCIe 4.0 x 4 NVMe,"High Definition (HD) Audio, Realtek ALC3287 Codec",,100/1000M (RJ-45),,,,Firmware TPM 2.0 Enabled,Intel SoC Platform,2,5200,,,,,,,,,,,,,,,,,,,,
612,"Laptop, Power Adaptor, User Guide, Warranty Documents",CB 11IJL6,82N3000DHA|82N30012HA|82N30019HA,,IdeaPad Flex 3 Chromebook Intel,Arctic Grey,Chromebook,Processing & Multitasking,Upto 10 hours,45W USB-C (3-pin) Adapter,No,Intel,Celeron Dual Core,,No,,4 GB,LPDDR4X,N4500,1.1 GHz with Turbo Boost Upto 2.8 GHz,,4 MB,Intel Integrated UHD,2,64 bit,Chrome,,Yes,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (Support Data Transfer, Power Delivery 3.0 and DisplayPort 1.4)",1 x HDMI Port (v1.4),Yes,29.46 cm (11.6 inch),1366 x 768 Pixel,"HD LED Backlit IPS Glossy 10-point Multi-touch Display (250 nits Brightness, 50% NTSC Color Gamut)",Built-in Dual Speakers,Dual Array Microphone,"High Definition (HD) Audio, 2 W x 2 Stereo Speakers",11ax (2x2),v5.0,285.5 x 205.2 x 18.45 mm,1.25 kg,Not Available,720p Webcam,No,English Non Backlit Keyboard,No,,Integrated 42Wh Battery,1 Year Onsite�Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,1 Year,26490,,,,,64 bit,No,,Realtek ALC5682I Codec,,,Touchpad,128 GB,1 x microSD Card Slot,Google Security Chip H1,Intel SoC,,,2933 MHz,Kensington Security Slot,,,,,,,,,,,,,,,,,,
613,Laptop 1 ; Adapter 1 ; Power Cable 1,255 G8 Notebook,62y23pa,HP 255 G8 Laptop,255 G8,Dark Ash,Notebook,Everyday Use,upto 6 hours,HP Smart 65 W EM External AC power adapter,No,AMD,Ryzen 3 Dual Core,,Yes,512 GB,8 GB,DDR4,AMD Ryzen3 3250,"1.0 GHz base frequency, up to 3.6 GHz with Intel® Turbo Boost Technology,",upto 64 gb,4 Mb L3,AMD Radeon Vega 8 Graphics,2,64 bit,Windows 11 Home,"Windows, Linux",Yes,2 USB 3.1 Gen 1; 1 USB 2.0;,1 HDMI 1.4b,No,39.62 cm (15.6 inch),1920 * 1080 pixel,FHD SVA anti-glare WLED-backlit,Dual stereo speakers,microphone combo,Dual stereo speakers,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi® with Bluetooth® 5 Combo,Yes,37.6 x 24.6 x 2.25 cm,1.78 kg,Not Available,Yes,No,Yes,No,Windows 11,,1 Year,On Site Warranty,Hardware for 1 Year,Physical Damage,1 Year,30990,3 Cell,,,,64 bit,Yes,sata III,,,Integrated 10/100/1000 GbE NIC,Yes,,1 multi-format digital media reader,,AMD Radeon Vega 8 Graphics,2 SODIMM,,,Yes,,No,No,No,,No,No,NA,Yes,No,NA,HP,0 Months,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi® with Bluetooth® 5 Combo,Operating System,220 Nits,No,No
614,"Laptop, battery, adapter, cables and user manuals",INSPIRON 3511,D560656WIN9S,INSPIRON 3511,Inspiron,Platinum Silver,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",Upto 7 hours,,Yes,Intel,Core i3,11th Gen,Yes,512 GB,8 GB,DDR4,1115G4,4.1,16,6,Intel Integrated Intel UHD Graphics,2,64 bit,Windows 11 Home,Windows 11,Yes,"2x USB 3.2 Gen1 ,1x USB 2.0",1x HDMI 1.4,No,39.62 cm (15.6 inch),1920x 1080 pixel,FHD WVA AG Narrow Border,Yes,Yes,Waves Maxx Audio Pro,802.11ac,v5.0,189 X 358 X 23.5 mm,1.8 kg,Not Available,HD,,English International Non-Backlit Keyboard,No,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,40290,3,,,,64,No,NVMe,,,Yes,Touchpad,,1x SD Media Card Reader,,,2,,2666 MHz,Kensington Lock Port,,,,,,,,,,,,,,,,,,
615,"1N Laptop, 1N Charger, 1N User Manual",4G,PB4G11064#2767C,Primebook 4G,4G Android Based,Blue,Thin and Light Laptop,"Processing & Multitasking, Learning",Upto 8 hours,,No,MediaTek,MediaTek MT8788,,No,,4 GB,LPDDR4,MT8788,Max Frequency Up to 2.0 GHz,,,MediaTek Integrated ARM Mali G72,,,Prime OS,Based on Android 11,Yes,"1 x USB 2.0, 1 x USB 3.0",,No,29.46 cm (11.6 Inch),1366 x 768 Pixels,HD IPS,Built-in Speakers,,,Wifi 5GHz and 2.4 GHz,V5.0,281 X 192 X 19.3 mm,1.065 Kg,Not Available,2.0 MP,,QWERTY with PrimeOS Special KB Shortcuts,No,,,1 Year Pick and Drop Warranty,Pick and Drop,Manufacturing Defects,Accidental Damage,,13990,,,,,,,,,,,,64 GB,,,,,,,,,,,,,,,,,,,,,,,,,
616,"Laptop, Power Adapter, User Guide, Warranty Documents",14a-ca0504TU,678M6PA#ACJ,14a-ca0504TU,Chromebook x360 Intel,Forest Teal,Chromebook,Processing & Multitasking,,,No,Intel,Celeron Quad Core,,No,,4 GB,LPDDR4,N4020,2.8,,4,Intel Integrated UHD Graphics,2,64 bit,Chrome,Chrome 64,Yes,"2 x SuperSpeed USB Type-C 5Gbps signaling rate,(USB Power Delivery, DisplayPort 1.2) 1 x SuperSpeed USB Type-A 5Gbps signaling rate",,Yes,35.56 cm (14 Inch),1366 x 768 Pixels,"HD, touch, micro-edge, BrightView, (Brightness: 220 nits, 112 ppi, Color Gamut: 45% NTSC)",Dual speakers,Integrated dual array digital microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac Wi-Fi,v5.0,325 x 219 x 17.9 mm,1.49 Kg,Not Available,HP Wide Vision 720p HD camera,,"Full-size, jet black keyboard",,,47 Wh Li-ion polymer battery,1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,19990,2,,,,64,,,,,,HP Imagepad with multi-touch gesture support,64 GB,,,,,,2400 MHz,,,,,,,,,,,,,,,,,,,
617,"Laptop, Power Adaptor, User Guide, Warranty Documents",15APH8,82XT004HIN,15APH8,LOQ,Storm Grey,Gaming Laptop,"Everyday Use, Gaming, Processing & Multitasking",Upto 9.5 Hours,170W Slim Tip Adapter (3 Pin),Yes,AMD,Ryzen 7 Octa Core,,Yes,512 GB,16 GB,DDR5,7840HS,"Base Frequency 3.8 GHz, Max Turbo Boost at 5.1 GHz",16 GB,16 MB,NVIDIA GeForce RTX 3050,8,,Windows 11 Home,Windows 11,Yes,"1 x USB 2.0, 2 x USB 3.2 Gen 2, 1 x USB-C 3.2 Gen 2 (Support Data Transfer, Power Delivery 140W and DisplayPort 1.4)","1 x HDMI 2.1, Upto 8K/60Hz",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, IPS, 350nits Anti-glare, 45% NTSC, Refresh Rate: 144 Hz, G-SYNC, FreeSync",2W Dual Stereo Speakers,Dual Array Microphone,Nahimic Gaming Audio,"Wi-Fi 6, 11ax 2x2",v5.1,359.6 x 264.8 x 22.1 mm,2.4 kg,Not Available,Full HD 1080p with E Shutter,,"White Backlit, English",Yes,Microsoft Office Home & Student 2021,"Integrated 60Wh Battery, AI Chip: LA1",1 Year Onsite Warranty,Onsite,Manufacturing Damage,Physical Damage,1 Year,87990,,GDDR6,6 GB,,,Yes,PCIe 4.0 x 4 NVMe,"High Definition (HD) Audio, Realtek ALC3287 Codec",,100/1000M (RJ-45),,,,Firmware TPM 2.0 Enabled,AMD SoC Platform,2,5600,,,,,,,,,,,,,,,,,,,,
618,"Laptop, Power Adaptor, User Guide, Warranty Documents",IdeaPad 3 15ITL6 Ub,82H802EYIN|82H801L3IN,15ITL6,IdeaPad 3 Intel,Arctic Grey,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",Upto 12 hours,65 W Round Tip,Yes,Intel,Core i3,11th Gen,Yes,256 GB,8 GB,DDR4,1115G4,"Base Frequency 3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz",Upto12GB,6,Intel Integrated UHD,2,64 bit,Windows 11 Home,Windows 11 Home 64,Yes,"1 x USB-C 3.2 Gen 1, 1 x USB 2.0 , 1 x USB 3.2 Gen 1",1 x HDMI 1.4b,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD TN 250nits Anti-glare,Built-in dual stereo speakers,Built-in array microphones,"High Definition (HD) Audio, Realtek ALC3287 codec, Dolby Audio","11ac, 2x2",v5.0,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,720p with Privacy Shutter,No,"Non-backlit, English",No,Office Home and Student 2021,45 Wh battery,2 Years Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,2 Year,36980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,"1N Laptop, 1N Charger, 1N User Manual",4G,PB4G11064#2767C,Primebook 4G,4G Android Based,Blue,Thin and Light Laptop,"Processing & Multitasking, Learning",Upto 8 hours,,No,MediaTek,MediaTek MT8788,,No,,4 GB,LPDDR4,MT8788,Max Frequency Up to 2.0 GHz,,,MediaTek Integrated ARM Mali G72,,,Prime OS,Based on Android 11,Yes,"1 x USB 2.0, 1 x USB 3.0",,No,29.46 cm (11.6 Inch),1366 x 768 Pixels,HD IPS,Built-in Speakers,,,Wifi 5GHz and 2.4 GHz,V5.0,281 X 192 X 19.3 mm,1.065 Kg,Not Available,2.0 MP,,QWERTY with PrimeOS Special KB Shortcuts,No,,,1 Year Pick and Drop Warranty,Pick and Drop,Manufacturing Defects,Accidental Damage,,13990,,,,,,,,,,,,64 GB,,,,,,,,,,,,,,,,,,,,,,,,,
620,"MacBook Air, 30 W USB-C Power Adapter, USB-C Charge Cable (2m), User Guide, Warranty Documents",MGN63HN/A,MGN63HN/A,,2020 Macbook Air,Space Grey,Thin and Light Laptop,Processing & Multitasking,Upto 15 Hours,30 W AC Adapter,No,Apple,M1,,Yes,256 GB,8 GB,DDR4,Apple M1 Chip,,Upto 16 GB,,NA,8,,Mac OS Big Sur,,Yes,"2 x Thunderbolt / USB 4 Ports (Supports Charging, DisplayPort, Thunderbolt 3 (Upto 40 Gbps), USB 3.1 (2nd Gen, Upto 10 Gbps))",,No,33.78 cm (13.3 inch),2560 x 1600 Pixel,"Quad LED Backlit IPS Display (227 PPI, 400 nits Brightness, Wide Colour (P3), True Tone Technology)",Built-in Speakers,Three-mic Array with Directional Beamforming,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos Playback",IEEE 802.11ax (Wi-Fi 6),v5.0,30.41 cm x 1.61 cm x 21.24 cm,1.29 kg,Not Available,720p FaceTime HD Webcam,,Backlit Magic Keyboard,,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",49.9 WHr Li-polymer Battery,1 Year Limited Warra­nty,Onsite,Manufacturing Defects,Physical Damage,1 Year,81990,,,,,,,,,,,Force Touch Trackpad,,,,,,,,,,,,,,,,,,,,,,,,,,
621,"Laptop, Power Adaptor, User Guide, Warranty Documents",X1502ZA-EJ515WS,90NB0VX2-M00N20,X1502ZA-EJ515WS,Vivobook 15,Icelight Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i5,12th Gen,Yes,512 GB,8 GB,DDR4,1235U,1.3 GHz with Turbo Boost Upto 4.4 GHz,,,Intel Integrated Iris Xe,,,Windows 11 Home,,,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",1 x HDMI 1.4,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, Anti-glare display, 220nits Brightness, 82 % Screen-to-body ratio",Yes,Yes,,Wi-Fi 6(802.11ax) (Dual band) 2*2,v5.0,359.7 x 232.5 x 19.9 mm,1.7 Kg,Not Available,720p HD camera ; With privacy shutter,Yes,Chiclet Keyboard,No,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,48990,3 Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,"Laptop, Power Adaptor, User Guide, Warranty Documents",15IRH8,82XV00BRIN,15IRH8,LOQ,Storm Grey,Gaming Laptop,"Everyday Use, Gaming, Processing & Multitasking",Upto 5.32 Hours,170W Slim Tip Adapter (3 Pin),Yes,Intel,Core i7,13th Gen,Yes,512 GB,16 GB,DDR5,13620H,"Base Frequency 2.4 GHz, Max Turbo Boost at 4.9 GHz",16 GB,24 MB,NVIDIA GeForce RTX 4060,10,,Windows 11 Home,Windows 11,Yes,"1 x USB 3.2 Gen 1, 2 x USB 3.2 Gen 2, 1 x USB-C 3.2 Gen 2 (Support Data Transfer, Power Delivery 140W and DisplayPort 1.4)","1 x HDMI 2.1, Upto 8K/60Hz",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, IPS, 350nits Anti-glare, 45% NTSC, Refresh Rate: 144Hz, G-SYNC",2W Dual Stereo Speakers,Dual Array Microphone,Nahimic Gaming Audio,"Wi-Fi 6, 11ax 2x2",v5.1,359.6 x 264.8 x 22.1 mm,2.4 kg,Not Available,Full HD 1080p with E Shutter,,"White Backlit, English",Yes,Microsoft Office Home & Student 2021,"Integrated 60Wh Battery, AI Chip: LA1",1 Year Carry-in Warranty,Carry-In,Manufacturing Damage,Physical Damage,1 Year,114990,,GDDR6,8 GB,,,Yes,PCIe 4.0 x 4 NVMe,"High Definition (HD) Audio, Realtek ALC3287 Codec",,100/1000M (RJ-45),,,,Firmware TPM 2.0 Enabled,Intel SoC Platform,2,5200,,,,,,,,,,,,,,,,,,,,
623,"Laptop, Power Adaptor, User Guide, Warranty Documents",15APH8,82XT004HIN,15APH8,LOQ,Storm Grey,Gaming Laptop,"Everyday Use, Gaming, Processing & Multitasking",Upto 9.5 Hours,170W Slim Tip Adapter (3 Pin),Yes,AMD,Ryzen 7 Octa Core,,Yes,512 GB,16 GB,DDR5,7840HS,"Base Frequency 3.8 GHz, Max Turbo Boost at 5.1 GHz",16 GB,16 MB,NVIDIA GeForce RTX 3050,8,,Windows 11 Home,Windows 11,Yes,"1 x USB 2.0, 2 x USB 3.2 Gen 2, 1 x USB-C 3.2 Gen 2 (Support Data Transfer, Power Delivery 140W and DisplayPort 1.4)","1 x HDMI 2.1, Upto 8K/60Hz",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, IPS, 350nits Anti-glare, 45% NTSC, Refresh Rate: 144 Hz, G-SYNC, FreeSync",2W Dual Stereo Speakers,Dual Array Microphone,Nahimic Gaming Audio,"Wi-Fi 6, 11ax 2x2",v5.1,359.6 x 264.8 x 22.1 mm,2.4 kg,Not Available,Full HD 1080p with E Shutter,,"White Backlit, English",Yes,Microsoft Office Home & Student 2021,"Integrated 60Wh Battery, AI Chip: LA1",1 Year Onsite Warranty,Onsite,Manufacturing Damage,Physical Damage,1 Year,87990,,GDDR6,6 GB,,,Yes,PCIe 4.0 x 4 NVMe,"High Definition (HD) Audio, Realtek ALC3287 Codec",,100/1000M (RJ-45),,,,Firmware TPM 2.0 Enabled,AMD SoC Platform,2,5600,,,,,,,,,,,,,,,,,,,,
624,"Laptop, Power Adaptor, User Guide, Warranty Documents",M6500QF-HN521WS,90NB1241-M000U0,M6500QF-HN521WS,"Vivobook Pro 15 For Creator,",Quiet Blue,Gaming Laptop,Gaming,,120W AC Adapter,Yes,AMD,Ryzen 5 Hexa Core,,Yes,512 GB,8 GB,DDR4,5600H,3.3GHz Upto 4.2GHz,,19 MB,NVIDIA GeForce RTX 2050,6,,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 2 Type-C support display / power delivery, 2 x USB 2.0 Type-A, 1 x 3.5mm Combo Audio Jack, 1 x DC-in",1x HDMI 1.4,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD, 16:9 aspect ratio, LED Backlit, IPS-level Panel, 144Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",Built-in speaker,Built-in array microphone,,Wi-Fi 6(802.11ax) (Dual band) 2 x 2,v5.3,359.8 x 234.3 x 18.9 ~ 19.9,1.80 Kg,Not Available,1080p FHD camera With privacy shutter,,Backlit Chiclet Keyboard,Yes,,50WHrs Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,54990,3 Cell,GDDR6,4 GB,,,,,,144 Hz,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,
625,"Laptop, Power Adaptor, User Guide, Warranty Documents",EX215-33,UN.EH6SI.003,EX215-33,Extensa (2023),Pure Silver,Notebook,"Entertainment, Everyday Use, Performance, Processing & Multitasking",,3-pin 45 W AC adapter,Yes,Intel,Core i3,,Yes,512 GB,8 GB,LPDDR5,N305,Max Turbo Frequency Upto 3.80 GHz,,,Intel Integrated UHD,,64 bit,Windows 11 Home,Windows 11 Home,,"2 x USB 3.2 Gen 1 Port, 1 x USB Type-C Port",1 x HDMI 2.1,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD,Two built-in front facing stereo speakers,,,WIFI6,v5.1,362.9 x 237.5 x 18.9mm,1.7 Kg,Not Available,T-Type HD camera,,99-/100-/103-key Acer keyboard layout with international language support,No,,40 Wh Li-ion battery,1 Year International Travelers Warranty,Onsite,Manufacturing Defects,Physical damage,1 Year,32990,3 Cell,,,,64 bit,,,,,,"Multi-gesture touchpad, supporting two-finger scroll; pinch; gestures to open Cortana, Action Center, multitasking; application commands",,,,,,,,,,,,,,,,,,,,,,,,,,
626,"Laptop, User manual, Adapter",E510MA-EJ001W,90NB0Q65-M010J0,E510MA-EJ001W,Vivobook Go 15,Star Black,Thin and Light Laptop,Processing & Multitasking,,,No,Intel,Celeron Dual Core,,Yes,256 GB,4 GB,DDR4,N4020,Max Frequency Up to 2.8 GHz,,,Intel Integrated UHD,,,Windows 11 Home,,,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",1 x HDMI 1.4,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 200nits, 45% NTSC color gamut, Anti-glare display",Yes,Yes,,Wi-Fi 5(802.11ac) (Dual band) 1*1,v5.1,360.2 x 236.4 x 18.1 mm,1.57 Kg,Not Available,VGA camera,Yes,Chiclet Keyboard,Yes,,,1 Year Onsite Warranty,Onsite,Manufacturing Damage,Physical Damage,,22990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,"Laptop, battery, power adapter, user guide",X1404VA-NK522WS,90NB10I2-M001U0,X1404VA-NK522WS,Vivobook 14 (2023),Transparent Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i5,13th Gen,Yes,512 GB,8 GB,DDR4,1335U,Max Turbo Frequency up to 4.6 GHz,,,Intel Integrated UHD,,,Windows 11 Home,,,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",,No,35.56 cm (14 Inch),1920 x 1080 Pixel,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, Anti-glare display, 250nits Brightness, 82 % Screen-to-body ratio",Built-in Speakers,Yes,,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.0,,1.40 Kg,Not Available,720p HD camera With privacy shutter,Yes,Chiclet Keyboard,No,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,57990,3 Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,"Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",CloudPro002,130290120209,Book Prime,Book Prime,Blue,Thin and Light Laptop,"Entertainment, Performance, Processing & Multitasking",Upto 12 hours,65W Type-C Adaptor,Yes,Intel,Core i5,11th Gen,Yes,512 GB,16 GB,LPDDR4X,11320H,Base 3.2 GHz Turbo Boost Upto 4.5 GHz,,8,Intel Integrated Iris Xe,,,Windows 11 Home,Windows 11 Home,,"1 x USB Gen 3.2 Thunderbolt 4, 1 x Type C USB 3.2 Gen 2 , 1 x Type A USB Gen 3.1 Gen 1",,No,35.56 cm (14 inch),2160 x 1440 Pixel,"Quad HD, 60 Hz Refresh Rate",,,,,Yes,307.21 x 228.96 x 15.55 mm,1.37 kg,Not Available,,Yes,Backlit Keyboard,Yes,,,1 Year Domestic Warranty,Carry-in to Realme Service Center or Reach our Customer Support,Manufacturing Defects,Physical Damage,1 Year,56999,54Wh,,,,,,,,,,Smooth surface muilt-touch Trackpad with Gesture support,,,,Intel i5-11320H,,,4266 MHz,,,,,,No,,,,,,,,,,,,,
629,"Laptop, power adapter",Bravo 15 B5ED-035IN,9S7-158M12-035,Bravo 15 B5ED,Bravo 15,Black,Gaming Laptop,Gaming,,150W adapter,No,AMD,Ryzen 7 Octa Core,,Yes,512 GB,16 GB,DDR,5800H,3.2GHz Upto 4.4GHz,,,AMD Radeon RX6500M,8,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x Type-C USB3.2 Gen1, 2 x Type-A USB3.2 Gen1, 1 x Type-A USB2.0",1x HDMI 2.1 (4K @ 60Hz),No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"FHD, 144Hz, 45%NTSC, IPS-Level",Built-in Dual Stereo Speakers,Yes,,AMD Wi-Fi 6E RZ608,v5.2,359 x 259 x 24.95mm,2.35 Kg,Not Available,HD type (30fps@728p),,Single Backlit Keyboard (Red),Yes,,53.5 Whr Battery,1 Year Warranty Term,Carry In,Part Failure,"Physical Damage, Burn, Liquid Spill",1 Year,57990,,GDDR6,4 GB,,64 Bit,Yes,,,144 Hz,Gb LAN,,,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
630,"Laptop, Power Adaptor, User Guide, Warranty Documents",15APH8,82XT004HIN,15APH8,LOQ,Storm Grey,Gaming Laptop,"Everyday Use, Gaming, Processing & Multitasking",Upto 9.5 Hours,170W Slim Tip Adapter (3 Pin),Yes,AMD,Ryzen 7 Octa Core,,Yes,512 GB,16 GB,DDR5,7840HS,"Base Frequency 3.8 GHz, Max Turbo Boost at 5.1 GHz",16 GB,16 MB,NVIDIA GeForce RTX 3050,8,,Windows 11 Home,Windows 11,Yes,"1 x USB 2.0, 2 x USB 3.2 Gen 2, 1 x USB-C 3.2 Gen 2 (Support Data Transfer, Power Delivery 140W and DisplayPort 1.4)","1 x HDMI 2.1, Upto 8K/60Hz",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, IPS, 350nits Anti-glare, 45% NTSC, Refresh Rate: 144 Hz, G-SYNC, FreeSync",2W Dual Stereo Speakers,Dual Array Microphone,Nahimic Gaming Audio,"Wi-Fi 6, 11ax 2x2",v5.1,359.6 x 264.8 x 22.1 mm,2.4 kg,Not Available,Full HD 1080p with E Shutter,,"White Backlit, English",Yes,Microsoft Office Home & Student 2021,"Integrated 60Wh Battery, AI Chip: LA1",1 Year Onsite Warranty,Onsite,Manufacturing Damage,Physical Damage,1 Year,87990,,GDDR6,6 GB,,,Yes,PCIe 4.0 x 4 NVMe,"High Definition (HD) Audio, Realtek ALC3287 Codec",,100/1000M (RJ-45),,,,Firmware TPM 2.0 Enabled,AMD SoC Platform,2,5600,,,,,,,,,,,,,,,,,,,,
